Player_Sleeper,KTC_Value
Brenton Strange,3082
Rashid Shaheed,3060
J.K. Dobbins,3058
Jalen Coker,3052
2027 Late 2nd,3051
Ty Simpson,3030
Khalil Shakir,3012
Rhamondre Stevenson,3008
2026 Mid 2nd,3005
Jadarian Price,2985
Jonathon Brooks,2940
Mason Taylor,2930
Mac Jones,2923
Kenneth Gainwell,2907
Kayshon Boutte,2905
2028 Mid 2nd,2904
J.J. McCarthy,2894
AJ Barner,2880
Chris Godwin,2873
2026 Late 2nd,2871
Shedeur Sanders,2868
Isaac TeSlaa,2857
Terrance Ferguson,2856
Jacory Croskey-Merritt,2848
Troy Franklin,2847
Tre Harris,2837
Jauan Jennings,2822
Elic Ayomanor,2817
Woody Marks,2806
Jacoby Brissett,2802
Jaylin Noel,2785
T.J. Hockenson,2781
Chig Okonkwo,2776
Jonah Coleman,2763
Pat Bryant,2758
Mark Andrews,2754
Chimere Dike,2745
Dylan Sampson,2740
Jerry Jeudy,2739
Adonai Mitchell,2726
Braelon Allen,2723
Tua Tagovailoa,2721
Tory Horton,2720
2028 Late 2nd,2720
Jordan Mason,2719
David Njoku,2699
Rachaad White,2699
Trey Benson,2695
Kyle Williams,2694
Tony Pollard,2667
Tyjae Spears,2658
Eli Stowers,2648
Dallas Goedert,2624
Tyrone Tracy,2589
Brandon Aiyuk,2576
2027 Early 3rd,2565
Keon Coleman,2555
Gunnar Helm,2554
Keaton Mitchell,2545
Tank Bigsby,2544
Elijah Arroyo,2543
Anthony Richardson,2534
Ollie Gordon,2528
Cade Otton,2510
Deebo Samuel,2496
Tank Dell,2493
Kimani Vidal,2487
Sean Tucker,2479
Jalen Milroe,2466
Juwan Johnson,2464
Travis Kelce,2453
Malik Washington,2453
Tre Tucker,2451
Theo Johnson,2433
Nicholas Singleton,2426
Jake Tonges,2416
Jack Bech,2415
Marvin Mims,2401
2026 Early 3rd,2401
2027 Mid 3rd,2401
Kaleb Johnson,2393
Isiah Pacheco,2384
Elijah Sarratt,2383
Jalen Nailor,2374
Hunter Henry,2345
Jaylen Wright,2345
Dontayvion Wicks,2339
Justin Fields,2326
Devin Neal,2314
Michael Mayer,2308
Tez Johnson,2293
Tyreek Hill,2284
Chris Rodriguez,2284
Isaiah Bond,2284
Dalton Schultz,2278
Mike Washington Jr,2274
Brian Robinson,2268
2026 Mid 3rd,2232
2027 Late 3rd,2225
Stefon Diggs,2222
Pat Freiermuth,2202
Emanuel Wilson,2188
Brashard Smith,2173
Emmett Johnson,2173
Colby Parkinson,2169
Dont'e Thornton,2162
2028 Early 3rd,2161
LeQuint Allen,2154
Alvin Kamara,2152
James Conner,2144
Demario Douglas,2144
Xavier Legette,2139
2026 Late 3rd,2138
Cedric Tillman,2132
Trevor Etienne,2127
Chris Brazzell II,2121
2028 Mid 3rd,2118
Geno Smith,2117
Ja'Tavion Sanders,2117
Rashod Bateman,2116
Zachariah Branch,2116
Darnell Mooney,2112
DJ Giddens,2104
Christian Kirk,2101
Aaron Jones,2096
Will Howard,2094
Trinidad Chambliss,2059
Cole Kmet,2041
Garrett Nussmeier,2032
Jaydon Blue,2025
Kendre Miller,2000
Ray Davis,1971
2028 Late 3rd,1971
Chris Bell,1962
Jordan James,1944
Darnell Washington,1931
Quinn Ewers,1925
Isaiah Davis,1922
Hollywood Brown,1914
Ryan Flournoy,1909
Luke Musgrave,1898
Jaylin Lane,1892
Malachi Fields,1884
Ben Sinnott,1873
Calvin Ridley,1872
Tyquan Thornton,1866
Najee Harris,1855
Kaytron Allen,1854
Aaron Rodgers,1853
Cooper Kupp,1853
Jalen Royals,1852
Jahan Dotson,1839
2027 Early 4th,1836
Joe Milton,1835
Xavier Hutchinson,1832
2026 Early 4th,1825
Evan Engram,1816
MarShawn Lloyd,1814
Riley Leonard,1811
Spencer Rattler,1805
Luke McCaffrey,1796
2027 Mid 4th,1778
John Metchie,1775
Ja'Kobi Lane,1751
Dawson Knox,1745
Kirk Cousins,1745
Keenan Allen,1744
Andrei Iosivas,1740
Tahj Brooks,1731
Devaughn Vele,1727
Germie Bernard,1727
Isaac Guerendo,1722
Roman Wilson,1720
Jarquez Hunter,1715
Noah Gray,1711
Calvin Austin,1684
Will Shipley,1682
Jalen Tolbert,1681
2027 Late 4th,1676
2026 Mid 4th,1652
2028 Early 4th,1638
Audric Estime,1634
Jimmy Horn,1634
KeAndre Lambert-Smith,1631
Dillon Gabriel,1626
Ja'Lynn Polk,1616
Tutu Atwell,1615
Savion Williams,1611
Jordan Whittington,1610
Jerome Ford,1606
Davis Mills,1602
Darius Slayton,1582
Treylon Burks,1581
Greg Dulcich,1574
Joshua Palmer,1571
Daniel Bellinger,1566
Jameis Winston,1548
Marcus Mariota,1541
Kendrick Bourne,1537
2028 Mid 4th,1533
Tyson Bagent,1530
2026 Late 4th,1527
Noah Fant,1513
Konata Mumpfield,1509
Roschon Johnson,1507
Efton Chism,1500
Xavier Restrepo,1496
Jaleel McLaughlin,1491
Cade Stover,1487
Tommy Tremble,1479
Dyami Brown,1451
Bam Knight,1448
Raheim Sanders,1446
Devontez Walker,1444
Will Levis,1443
Devin Singletary,1433
Skyler Bell,1430
Olamide Zaccheaus,1428
Malik Davis,1427
Mike Gesicki,1413
Jonnu Smith,1408
Michael Carter,1406
Max Klare,1363
Tyler Higbee,1353
Tahj Washington,1350
Tai Felton,1334
Tanner McKee,1332
Joe Mixon,1329
2028 Late 4th,1329
Deshaun Watson,1320
Justice Hill,1320
George Holani,1305
Antonio Williams,1304
Tyler Huntley,1282
Jalin Hyatt,1282
Trey Lance,1281
Gardner Minshew,1277
Phil Mafah,1270
KaVontae Turpin,1253
Ty Johnson,1249
Malachi Corley,1244
Luke Schoonmaker,1242
Trey Palmer,1231
Emari Demercado,1231
Kevin Coleman,1231
Rasheen Ali,1229
Michael Trigg,1224
Greg Dortch,1218
Mack Hollins,1214
Elijah Moore,1211
Erick All,1210
Kenny Pickett,1193
Elijah Higgins,1193
Damien Martinez,1191
Darren Waller,1180
Jake Bobo,1179
Gabriel Davis,1176
Zach Wilson,1175
Kameron Johnson,1171
Kalel Mullings,1168
Tyler Goodson,1165
Demond Claiborne,1154
Tyrell Shavers,1149
Sam Howell,1138
Jonathan Mingo,1134
Kareem Hunt,1132
Dameon Pierce,1130
Javon Baker,1112
Jordan Watkins,1111
Joe Flacco,1108
Mitchell Evans,1107
Jacob Cowing,1102
Chris Brooks,1098
Bo Melton,1085
Lil'Jordan Humphrey,1084
Donovan Edwards,1080
Sione Vaki,1074
Davis Allen,1061
Arian Smith,1053
Le'Veon Moss,1050
Brevin Jordan,1049
Charlie Kolar,1040
Jared Wiley,1040
Tyler Badie,1029
Isaiah Hodgins,1027
Drew Lock,1026
Skyy Moore,1023
Ted Hurst,1023
Hassan Haskins,1022
Zach Ertz,1017
Jam Miller,1014
Cade Klubnik,1008
Mason Tipton,1003
J'Mari Taylor,998
Aidan O'Connell,996
Cam Akers,985
Brock Wright,980
Israel Abanikanda,976
Deuce Vaughn,976
Seth McGowan,970
Elijah Mitchell,960
Tyler Johnson,955
Jawhar Jordan,952
Deion Burks,951
Mason Rudolph,947
Xavier Gipson,946
Jamari Thrash,945
Nick Westbrook-Ikhine,943
Tyler Scott,938
Ty Chandler,930
Frank Gore Jr,930
CJ Daniels,925
Jack Endries,918
Nick Chubb,917
Samaje Perine,917
Demarcus Robinson,913
Bub Means,907
Terrell Jennings,904
Jeremy Ruckert,891
DeAndre Hopkins,879
Kendall Milton,874
Zavier Scott,872
Miles Sanders,871
Grant Calcaterra,870
Jeremy McNichols,865
Khalil Herbert,841
Jake Browning,839
Kenny McIntosh,832
Johnny Wilson,828
Brenden Rice,827
Alexander Mattison,822
JuJu Smith-Schuster,818
Ainias Smith,811
A.J. Dillon,809
Curtis Samuel,776
Antonio Gibson,769
Carson Wentz,762
Tylan Wallace,758
Kyle McCord,752
Van Jefferson,749
Julius Chestnut,742
Mecole Hardman,739
Josh Oliver,737
Tyler Conklin,728
Noah Brown,727
Malik Heath,727
Zay Jones,726
Zamir White,722
Barion Brown,713
Tyrod Taylor,705
LaJohntay Wester,703
Sterling Shepard,702
Adam Trautman,702
Luke Altmyer,689
Tim Patrick,685
Jermaine Burton,685
